name transitivity
248253_at 0.466666666666667
260555_at 0.444444444444444
265006_at 0.299003322259136
247373_at 0
266258_at 0.428571428571429
256438_s_at 0.6
259326_at 0.333333333333333
260132_s_at 0.426470588235294
250179_at 0.483516483516484
258821_at 0.333333333333333
258937_at 0.277777777777778
259225_at 0.35650623885918
249625_at 0.5
253996_at 0.408408408408408
264441_at 0.833333333333333
251552_at 0.414285714285714
247010_at 0.666666666666667
250974_at 0.442016806722689
266535_s_at 0.360071301247772
256065_at 0
266074_at 0.316176470588235
256597_at 1
264913_at 1
247520_at 0.367965367965368
246699_at 0.575757575757576
252328_at 1
264679_s_at 1
251740_at 0.342857142857143
263371_at 0.388704318936877
265101_at 0.385714285714286
258922_at 0.562091503267974
264849_at 0.367741935483871
254190_at 0.5
246965_at 0.439393939393939
249975_s_at 0.420289855072464
253202_at 0.432183908045977
266822_at 0.437229437229437
258656_at 0.383333333333333
260605_at 0.25
247739_at 0.476190476190476
261272_at 0
247465_at 0.393939393939394
263759_at 0.352380952380952
247006_at 0
254429_at 0.575757575757576
254734_at 0.561594202898551
258623_at 0.435960591133005
261019_at 0.636363636363636
248473_at 0.490476190476191
251707_at 0.325252525252525
253593_at 0.627705627705628
245909_at 0
260541_at 0.243589743589744
262611_at 0.396870554765292
266980_at 1
249343_at 0.5
258105_at 0
259090_at 0.307692307692308
258079_at 0.377777777777778
246384_at 0.286764705882353
266239_at 0.41897233201581
261314_at 0.4
255749_at 0.583333333333333
254594_at 0.166666666666667
259123_at 0.755555555555556
265445_at 0.566666666666667
246559_at 0.7
248746_at 0.472727272727273
261508_at 0.490196078431373
254030_at 0.38386524822695
245106_at 0.366013071895425
258453_at 0.642857142857143
259515_at 0.303030303030303
254355_at 0.380952380952381
248614_at 0.490196078431373
246265_at 0.466666666666667
249427_at 0.4
265899_s_at 0.593406593406593
256812_at 0
246538_at 0.513978494623656
245147_at 1
257058_at 0.40952380952381
258701_at 0.592592592592593
250895_at 0.64327485380117
250168_at 0.866666666666667
259069_at 0.478947368421053
264166_at 1
256648_at 0.465079365079365
247641_at 0
252147_at 0.304761904761905
253777_at 0.492647058823529
251403_at 1
250721_at 0.698529411764706
260351_at 0.833333333333333
246944_at 0.556122448979592
264803_at 0.58008658008658
247735_at 0.648351648351648
251537_at 0.436720142602496
259908_at 0.381461675579323
253203_at 0
258726_at 0.392929292929293
251094_at 0.492647058823529
255871_at 0.464285714285714
246730_at 0.478947368421053
265358_at 0
260323_at 0.41025641025641
258792_at 0.583333333333333
248979_at 0.667734553775744
251018_at 0.571428571428571
251355_at 0
244993_s_at 0.333333333333333
263224_at 0.41304347826087
251189_at 0.688888888888889
245512_at 0.339869281045752
256288_at 0.533333333333333
261470_at 0
266426_x_at 0.321428571428571
255520_at 0.365591397849462
257906_at 0
253942_at 0.6
252326_at 0.805555555555556
247978_at 0.370870870870871
246192_at 0.373626373626374
246457_at 0.53448275862069
257135_at 0
