name degree
260829_s_at 12
252340_at 22
267495_at 15
252724_at 8
265226_at 4
261923_at 76
265192_at 14
266275_at 18
266795_at 14
256206_at 10
265478_at 18
250394_at 43
251956_at 57
259548_at 6
247355_at 53
249276_at 9
266296_at 35
261553_at 18
258215_at 56
248744_at 16
249636_at 51
248339_at 35
261318_at 4
259118_at 24
257754_at 26
247035_at 4
265412_at 60
260070_at 2
265093_at 23
261632_at 15
263473_at 12
249742_at 13
254958_at 11
260746_at 11
264165_at 37
262236_at 3
251985_at 47
264656_at 14
257199_at 8
258806_at 16
256589_at 56
254147_at 14
266157_at 34
266347_at 42
261102_at 48
247525_at 18
260292_at 42
250419_at 29
266500_at 29
266745_at 38
260362_at 17
261901_at 1
258292_at 55
256060_at 12
256918_s_at 11
245770_at 45
254833_s_at 11
264094_at 34
252269_at 7
267592_at 19
255070_at 20
259040_at 4
249322_at 3
254645_at 34
258909_at 2
250529_at 21
250049_at 5
254343_at 25
265291_at 18
248634_at 5
251197_at 32
257985_at 21
258109_at 8
265629_at 6
255331_at 13
260656_at 0
258138_at 52
256786_at 58
262952_at 43
264400_at 27
248201_at 50
267530_at 27
257756_at 28
245194_at 16
260556_at 10
256426_at 45
249069_at 14
263118_at 5
252067_at 14
254608_at 30
259210_at 17
263842_at 28
256741_at 45
251442_at 41
260264_at 12
263126_at 1
257744_at 10
255302_at 18
249529_at 63
245638_s_at 42
256525_at 42
266874_at 51
263153_s_at 9
254293_at 111
253303_at 6
264885_s_at 11
257765_at 38
261715_at 30
247414_at 21
262738_at 12
250474_at 10
260462_at 22
244969_at 13
254057_at 36
267361_at 13
252043_at 37
261122_at 43
262714_s_at 20
256536_at 0
259038_at 87
256725_at 17
258923_at 34
265172_at 22
252118_at 15
255850_at 47
248698_at 7
254211_at 17
258983_at 41
253029_at 48
260146_at 0
246417_at 14
254282_at 31
251946_at 6
245569_at 20
256914_at 10
248271_at 5
256965_at 4
254872_at 21
253384_at 15
256765_at 3
250517_at 24
257140_at 39
249404_at 53
253686_at 17
251015_at 21
249869_at 32
251752_at 62
250975_at 2
265200_s_at 21
250421_at 92
251282_at 0
244985_at 21
246463_at 12
267201_at 24
255482_at 38
251920_at 49
253553_at 24
265098_at 28
247390_at 58
249090_at 40
264191_at 39
245307_at 24
248250_at 25
254427_at 52
250532_at 65
265059_at 21
266926_at 2
262050_at 7
247983_at 28
259172_at 24
251662_at 46
251327_at 12
248605_at 53
253343_at 8
249990_at 48
266016_at 2
254410_at 0
262518_at 2
258534_at 39
259757_at 12
262319_s_at 0
251487_at 5
247386_at 39
259968_at 9
263982_at 22
255736_at 10
261937_at 30
245937_at 11
260235_at 26
255621_at 8
253421_at 24
262517_at 11
248753_at 4
266120_at 67
262629_at 7
258804_at 35
251730_at 25
254758_at 13
253411_at 18
248021_at 15
265290_at 10
257937_at 42
251119_at 42
258287_at 21
265330_at 13
259363_at 60
254133_at 40
247867_at 5
251937_at 22
252859_at 4
246173_s_at 17
246464_at 37
258180_at 46
254659_at 6
244984_at 26
245285_s_at 27
262645_at 30
252160_at 1
266064_at 1
245628_at 2
256789_at 58
247223_at 30
250412_at 3
258897_at 34
264855_at 25
250865_at 60
265208_at 27
248228_at 41
258815_at 142
251521_at 46
262620_at 7
248381_at 7
245188_at 14
251799_at 35
252291_s_at 0
247348_at 41
267596_s_at 4
266891_at 11
257730_at 45
255652_at 28
249826_at 21
256061_at 3
261177_at 31
266002_at 34
248728_at 4
259173_at 4
257891_at 38
246052_at 19
248037_at 2
246225_at 47
245494_at 49
253233_at 53
258034_at 29
265109_s_at 16
249551_at 18
262880_at 18
266427_at 63
249354_at 51
253525_at 5
245319_at 7
258573_at 42
248075_at 46
260776_at 7
249010_at 7
251685_at 9
258861_at 70
260489_at 12
253005_at 21
263573_at 10
266537_at 39
252888_at 21
266618_at 7
264969_at 51
259990_s_at 10
267048_at 31
248552_at 29
264279_s_at 10
266237_at 20
254819_at 9
251827_at 4
247089_at 25
267442_at 4
254016_at 18
263231_at 14
252629_at 23
253697_at 1
261023_at 26
260272_at 19
251647_at 18
255231_at 13
265880_at 12
266578_at 4
264224_at 17
245215_at 16
265672_at 4
245255_at 14
257759_at 44
249835_s_at 13
260293_at 30
247529_at 2
258860_at 8
256343_at 8
248329_at 6
267461_at 0
245789_at 5
258921_at 5
252410_at 13
247678_at 8
262780_at 7
256150_at 4
250854_at 15
258396_at 26
249291_at 23
261561_at 36
262682_at 13
246303_at 19
250203_at 14
248283_at 51
249127_at 4
257237_at 33
261068_at 1
264301_at 23
250025_at 7
257270_at 2
256491_at 6
246791_at 6
257056_at 8
253159_at 39
246238_at 5
249808_at 48
267414_at 15
261259_at 22
266018_at 19
249125_at 6
253602_s_at 8
253841_at 95
246125_at 65
245029_at 7
248152_at 53
264653_at 22
245306_at 15
264890_at 32
251600_at 19
267059_at 8
265720_at 3
251805_at 24
263031_at 2
262823_at 48
256089_at 44
253912_at 31
265510_at 2
266867_at 78
261577_at 66
259730_at 39
248855_at 0
251986_at 24
257180_at 75
247886_at 13
254750_at 15
267555_at 60
251095_at 42
254527_at 20
244978_at 68
255429_at 6
258198_at 7
266294_at 160
256113_at 15
251183_at 26
251496_at 56
255524_at 24
246584_at 3
265288_at 46
265918_at 26
248709_at 42
255360_at 2
260876_at 21
258856_at 24
267233_s_at 12
256746_at 31
247216_at 19
248812_at 29
248729_at 4
254317_at 40
247748_at 48
263637_at 4
250444_at 3
257377_at 31
245284_at 8
248628_at 21
263205_at 13
260367_at 6
248352_at 38
266192_at 13
257315_at 2
256666_at 6
264091_at 2
259878_at 3
260200_at 5
251063_at 16
267419_at 48
253530_at 24
257181_at 25
248118_at 166
258300_at 16
249685_at 19
254835_s_at 25
247478_at 8
260283_at 39
256814_at 16
249231_at 16
250252_at 39
259591_at 41
259152_at 9
257701_at 15
259928_at 11
245052_at 7
254760_at 17
246325_at 13
245575_at 48
250255_at 19
251811_at 10
264698_at 49
260684_at 0
265596_at 35
250739_at 28
257972_at 15
250167_at 11
245094_at 9
267471_at 54
257655_at 22
245049_at 11
254549_at 0
266824_at 18
253607_at 38
258151_at 13
249948_at 34
264247_at 9
255607_at 47
256021_at 1
253581_at 4
262134_at 16
257481_at 26
248105_at 56
256098_at 2
249752_at 9
254181_at 48
261898_at 6
257641_s_at 2
266521_at 33
263515_at 0
256983_at 17
253861_at 32
264089_at 7
245022_at 10
251500_at 25
259199_at 21
256870_at 27
258114_at 3
260549_at 3
245912_at 1
253028_at 49
247100_at 64
246509_at 66
247398_at 7
266335_at 20
251080_at 20
261864_s_at 12
256383_at 0
255557_at 47
258155_at 8
252183_at 1
254759_at 10
262494_at 22
261453_at 2
266290_at 9
255284_at 11
248696_at 13
254805_at 0
253382_at 12
248412_at 8
249946_at 111
245637_at 11
264299_s_at 1
262811_at 24
262653_at 49
262619_at 6
259444_at 16
259750_at 7
259600_at 26
250515_at 3
253829_at 18
254663_at 20
262452_at 14
248549_at 20
264960_at 0
262622_at 5
261487_at 1
264507_at 9
253340_s_at 23
248975_at 28
249719_at 0
260412_at 11
256461_s_at 8
264799_at 43
261117_at 37
253788_at 19
247882_at 22
255402_at 28
248793_at 1
266119_at 16
261196_at 42
263947_at 12
258800_at 28
246550_at 14
259009_at 3
260730_at 29
264341_at 7
246330_at 7
247488_at 23
260086_at 35
259992_at 12
251720_at 15
252168_at 11
250993_at 17
258090_at 23
255709_at 39
258956_at 5
245368_at 48
265511_at 0
249472_at 18
253283_at 54
262784_at 23
248427_at 85
255579_at 34
247862_at 46
256755_at 2
261942_at 3
257909_at 28
247543_at 20
252565_at 4
266857_at 35
266383_at 10
263729_at 40
253140_at 6
267084_at 1
261075_at 8
260410_at 3
263184_at 15
248685_at 8
255585_at 23
259244_at 2
258321_at 9
255623_at 71
255980_at 7
260522_x_at 4
248016_at 9
262842_at 56
245592_at 11
255857_at 4
248094_at 52
260107_at 28
261135_at 18
262539_at 2
258419_at 13
261226_at 1
263927_s_at 109
248624_at 17
265819_at 4
252158_at 35
260401_at 6
251895_at 5
261873_at 8
251017_at 1
264958_at 0
250262_at 2
261207_at 18
250646_at 16
261502_at 27
245982_at 159
255028_at 4
251221_at 3
252367_at 0
259925_at 3
259384_at 0
258920_at 9
262935_at 3
263495_at 0
265171_at 44
260312_at 8
267336_at 1
254818_at 1
252716_at 23
246071_at 14
248242_at 9
262536_at 9
267083_at 0
249456_at 9
259293_at 11
247657_at 64
245712_at 29
249599_at 1
258678_at 21
247351_at 18
247718_at 27
248596_at 7
245716_at 55
254117_at 14
250445_at 0
263497_at 18
246749_at 52
262553_at 20
260793_at 49
264987_at 0
247450_at 17
258589_at 20
259608_at 20
252102_at 19
251155_at 4
263963_at 19
260081_at 35
253331_at 2
254764_at 0
246055_at 4
247925_at 9
261395_at 11
245347_at 27
250670_at 2
260803_at 2
262986_at 2
264300_at 0
254185_at 5
257294_at 26
266265_at 3
261203_at 4
248727_at 3
265501_at 3
260741_at 3
249894_at 5
255851_at 9
251299_at 15
260531_at 25
245448_at 2
260408_at 0
257206_at 2
245765_at 0
245859_at 14
261872_s_at 25
245076_at 3
260919_at 10
247540_at 14
262378_at 0
262230_at 18
257673_at 1
267300_at 4
255433_at 22
253871_at 8
247577_at 17
262118_at 14
253579_at 9
254122_at 7
247327_at 0
263467_at 4
253510_at 5
266746_s_at 0
260547_at 9
250006_at 43
263829_at 18
262369_at 146
262809_at 22
255440_at 37
246580_at 8
252529_at 11
260982_at 17
262608_at 0
249477_s_at 2
266141_at 0
259329_at 14
244936_at 20
258402_at 1
260551_at 1
257628_at 4
255575_at 0
254432_at 3
254794_at 20
266673_at 19
254314_at 9
254915_s_at 1
245711_at 0
255904_at 0
264514_at 0
252076_at 6
266956_at 0
261684_at 0
245876_at 20
259086_at 248
247778_at 251
259855_at 258
252695_s_at 248
265860_at 260
248714_at 236
257945_at 254
254390_at 205
264051_at 249
263479_x_at 243
257316_at 231
245160_at 240
256101_at 237
251613_at 256
255687_at 251
252857_at 218
264237_at 244
267149_s_at 247
257557_at 222
261730_s_at 252
248707_at 223
265018_s_at 264
249517_at 230
249676_at 225
258843_at 235
249131_at 217
257298_at 249
255661_at 259
265787_at 186
261466_at 189
260795_at 231
250506_at 178
251671_at 241
265914_at 243
261856_at 205
251201_at 222
264194_at 256
258290_at 238
247663_at 254
252704_at 236
265744_at 238
262191_at 227
248397_at 198
264253_at 219
246349_at 241
250103_at 145
252153_at 229
246367_at 35
258301_at 244
255383_at 38
254017_at 208
256470_at 216
255167_at 195
262122_at 240
265551_at 256
254916_at 203
263198_at 211
246688_at 244
249896_at 153
246878_at 236
264021_at 246
266936_at 208
247728_at 211
250067_at 201
266066_at 155
251606_at 217
261047_at 245
265491_s_at 234
263816_at 89
254868_at 71
245591_at 226
263818_at 239
262097_at 218
263316_s_at 257
248918_at 43
257119_at 151
246456_at 120
253936_at 40
264794_at 38
251268_at 227
266381_at 96
267295_at 238
249263_at 204
248662_at 214
260909_at 133
250121_at 213
246872_at 208
249141_at 225
255102_s_at 61
252063_at 202
247088_at 228
247704_at 255
257942_at 202
250583_at 102
251792_at 223
245931_at 239
255126_at 247
251350_at 176
263056_at 183
261912_s_at 162
246381_at 176
254537_at 158
248887_at 45
251027_at 206
255234_at 156
257872_at 123
263615_at 252
255252_at 259
249402_at 33
267395_at 224
253682_at 209
266681_at 221
257438_at 214
256550_at 135
260694_at 221
266339_s_at 229
255747_s_at 195
258169_at 9
250048_s_at 76
263043_at 252
263858_at 231
263188_at 186
265568_s_at 238
261778_at 213
255612_at 229
251540_at 150
263453_at 246
249981_at 178
256604_at 243
252356_at 58
263468_at 256
256708_at 181
257796_at 217
265621_at 264
252702_at 218
246915_at 142
250551_at 206
265600_at 221
264867_at 197
245135_at 132
255608_at 234
261284_at 226
256531_at 235
263969_at 238
261567_at 42
258199_at 225
246692_at 225
248365_at 48
254908_at 175
255391_at 148
266753_at 215
267131_at 36
257492_at 131
266937_at 225
246698_at 169
262012_s_at 221
265971_at 133
265956_at 131
251587_at 191
247661_at 156
261217_at 172
249586_at 242
245998_at 5
253683_at 66
265969_at 197
245257_at 238
258278_at 102
256495_at 124
262547_at 232
250838_at 152
248325_at 204
264714_at 117
258711_at 108
264081_at 105
252458_at 207
248355_at 211
257289_at 111
257779_at 222
246176_at 134
256670_at 246
260447_at 238
256473_at 240
255275_at 215
254518_at 239
263229_s_at 8
258019_at 94
256006_at 192
248194_at 177
254774_at 94
254316_at 232
265714_at 130
257781_at 57
249349_at 206
263295_at 14
264740_at 189
256667_at 56
254338_s_at 210
253902_at 152
253315_at 212
267329_at 253
266794_at 154
245103_at 146
250046_at 155
252111_at 152
249696_at 111
258763_s_at 67
259578_at 220
248356_at 44
267107_at 210
260765_at 3
249413_at 180
245447_at 169
252260_at 223
266274_at 243
246637_at 88
249371_at 135
255291_at 178
255454_at 124
260121_at 161
266250_at 88
245504_at 16
252071_at 189
253845_at 56
257466_at 3
264503_at 27
255099_at 90
249603_at 190
258659_at 193
263968_s_at 131
245554_at 154
265690_at 0
256886_at 210
264216_at 39
265498_at 136
257605_at 148
245907_at 115
256080_at 178
263123_at 1
253621_at 197
245923_at 153
245801_at 117
262817_at 153
246251_at 192
258307_x_at 192
249617_at 31
260668_at 5
255470_at 90
264923_s_at 0
264912_at 6
245609_at 105
248240_at 209
257508_at 131
254768_at 153
261680_at 179
262779_at 8
266487_at 152
255315_at 211
256758_at 196
266543_at 144
258446_at 119
265705_at 21
263357_s_at 161
246834_at 165
259127_at 49
254212_at 192
265851_at 180
263932_at 209
259879_at 15
267024_s_at 17
261779_at 141
261574_at 3
260012_at 5
267038_at 5
265124_at 90
262835_at 207
250142_at 5
266859_at 222
252580_at 132
250508_at 196
266267_at 22
261045_at 6
249009_at 12
259208_at 239
265828_at 22
257133_at 15
246105_at 148
264809_at 8
264647_at 10
249511_at 46
256700_at 121
250172_at 14
245151_at 9
249132_at 190
252520_at 1
257153_at 19
254216_at 4
258013_at 194
254522_at 25
263081_at 55
265833_at 109
255173_at 38
257437_s_at 29
248867_at 18
250479_at 4
260119_at 44
264559_at 44
258487_at 28
253874_at 14
260920_at 55
262404_at 2
267164_at 83
249468_at 1
257027_at 177
254436_at 14
246540_at 1
245696_at 187
259027_at 74
266191_at 14
248551_at 8
265632_at 132
250069_at 164
266387_at 52
246869_at 180
249097_at 1
247204_at 231
260869_at 24
258645_s_at 28
251438_s_at 0
260318_at 79
254897_at 72
255489_at 74
258930_at 19
256349_at 19
265854_at 137
267042_at 166
267457_at 1
250348_at 18
259120_at 142
249384_at 28
261590_at 10
253298_at 27
260558_at 3
253629_at 0
257922_at 1
249194_at 149
256266_at 0
252862_at 92
253998_at 35
253957_at 18
252746_at 20
261569_at 2
264706_at 150
261826_at 6
255807_at 10
251977_at 149
260623_at 6
252882_at 0
261985_at 64
246991_at 29
260603_at 7
249227_at 13
265049_at 14
246149_at 1
251226_at 24
267178_at 3
264640_at 2
260495_at 2
251480_at 0
266719_at 1
254828_at 1
247477_at 2
250801_at 12
248311_at 4
247297_at 1
264846_at 27
248486_at 9
267384_at 1
250152_at 18
254564_at 0
253613_at 5
257057_at 1
250663_at 4
259276_at 16
262666_at 16
245003_at 1
265698_at 0
248844_s_at 1
248178_at 1
246390_at 1
262826_at 1
253515_at 6
261150_at 4
255632_at 23
256289_s_at 0
255591_at 5
247634_at 3
264567_s_at 20
258879_at 2
258586_s_at 17
247755_at 0
245226_at 15
261099_at 26
254820_s_at 14
254044_at 24
260557_at 1
246652_at 13
257041_at 21
262427_s_at 7
264953_at 13
248636_at 17
263552_x_at 9
260553_at 6
261562_at 13
249732_at 0
250683_x_at 20
250464_at 21
252214_at 1
267626_at 2
260150_at 1
251861_at 0
266168_at 1
258209_at 0
247933_at 0
253884_at 171
258139_at 164
250351_at 163
262148_at 164
252515_at 171
251635_at 172
255811_at 166
250296_at 166
247691_at 147
266590_at 172
266690_at 152
254839_at 143
250624_at 189
254414_at 153
260978_at 172
255891_at 181
249575_at 161
247264_at 159
257035_at 172
265675_at 171
263374_at 168
254403_at 164
255576_at 176
258695_at 135
267263_at 132
263320_at 170
262911_s_at 173
258133_at 44
247128_at 163
247792_at 142
264741_at 61
254101_at 171
265197_at 165
245904_at 78
245903_at 145
256603_at 65
248434_at 163
250199_at 162
264082_at 129
265872_at 33
263406_at 131
259913_at 167
258984_at 20
247509_at 136
256779_at 135
266098_at 124
264594_at 105
249917_at 96
251130_at 151
248759_at 87
262967_at 124
256245_at 108
245769_at 162
262947_at 39
256145_at 148
245243_at 166
255550_at 165
266532_at 103
265151_at 86
247851_at 93
260456_at 153
246874_at 165
267238_at 55
262357_at 116
263164_at 134
245352_at 172
250909_at 131
263881_at 116
260248_at 137
263931_at 95
251509_at 92
249626_at 136
263258_at 101
254042_at 149
254263_at 109
247459_at 29
266670_at 90
246781_at 114
251381_at 34
250053_at 110
259008_at 7
259661_at 35
254060_at 72
248657_at 57
260917_at 169
250781_at 14
264758_at 139
250332_at 66
263127_at 117
257196_at 53
250910_at 12
266613_at 18
254336_at 119
254823_at 144
264968_at 53
253550_at 69
246302_at 119
259618_at 127
252414_at 5
260391_at 110
254234_at 27
246554_at 69
265430_at 155
246864_at 5
252572_at 81
255578_at 7
259399_at 157
254551_at 21
266756_at 103
247717_at 26
264458_at 38
248332_at 111
249619_at 107
253052_at 29
253038_at 119
263128_at 31
262344_at 50
256430_at 10
245571_at 60
249860_at 101
249937_at 44
249053_at 82
258362_at 23
253776_at 82
247154_at 74
248017_at 23
260025_at 134
263897_at 38
254402_at 90
246000_at 16
246214_at 85
246612_at 26
249372_at 14
249126_at 45
267036_at 14
265448_at 30
258939_at 82
266319_s_at 11
259150_at 52
246389_at 151
261655_at 91
261838_at 171
267493_at 142
266155_at 41
257186_at 170
245659_at 34
255900_at 83
245228_at 45
257224_at 30
251975_at 81
256183_at 22
252234_at 27
260444_at 32
253999_at 97
253540_at 109
245627_at 84
266037_at 56
261768_at 54
260400_at 178
247863_at 3
245749_at 3
261866_at 52
261077_at 111
245734_at 56
259058_at 97
264940_at 91
263065_at 10
264894_at 4
264255_at 89
256861_at 44
247992_at 0
246727_at 158
254389_s_at 23
262607_at 89
265729_at 45
247447_at 64
248985_at 6
265244_at 13
258366_at 8
253453_at 119
262644_at 26
252395_at 18
249147_at 136
263490_at 69
257814_at 105
263594_at 0
262373_at 22
245703_at 28
267168_at 124
264814_at 32
251078_at 42
255644_at 142
265366_at 7
255590_at 19
254878_at 133
247194_at 7
265615_at 21
267181_at 93
265460_at 17
255832_at 23
258385_at 3
265214_at 65
264217_at 81
258091_at 35
263988_at 20
258811_at 37
260841_at 34
254153_at 15
258880_at 7
263179_at 108
249376_at 144
248236_at 84
255941_at 6
249784_at 7
257946_at 13
256255_at 45
255521_at 62
247800_at 6
265118_at 3
253519_at 22
267628_at 0
264652_at 14
246018_at 70
245463_at 14
255587_at 2
265989_at 70
262736_at 5
262831_at 77
262307_at 142
246212_at 59
249239_at 41
255934_at 30
267534_at 78
261610_at 20
252927_at 6
254777_at 2
245385_at 9
247888_at 67
259921_at 78
263876_at 5
251360_at 6
267616_at 101
257129_at 13
248040_at 64
251555_at 117
265817_at 48
250666_at 119
265725_at 8
253866_at 64
250650_at 1
258347_at 20
265561_s_at 25
267612_at 5
251987_at 2
262888_at 18
252419_at 16
247655_at 44
245800_at 80
262049_at 5
246241_at 54
250162_at 154
248337_at 4
248821_at 15
253987_at 2
250360_at 95
253386_at 6
250702_at 8
253806_at 1
246260_at 67
253326_at 18
260639_at 80
257102_at 129
248248_at 17
264872_at 1
246833_at 132
252606_at 14
260263_at 120
253293_at 82
250028_at 17
250881_at 7
249217_at 3
262286_at 2
254269_at 3
264375_at 132
253666_at 142
249454_at 27
248735_at 166
253043_at 7
249978_at 6
266743_at 59
247136_at 17
266806_at 5
260287_at 7
260900_s_at 29
255794_at 0
260783_at 1
267646_at 24
245528_at 7
256681_at 4
258906_at 54
264211_at 1
248011_at 8
256818_at 10
266165_at 0
262181_at 10
264663_at 5
263083_at 26
257874_at 11
257209_at 12
266849_at 69
249309_at 2
244960_at 0
253872_at 57
249490_s_at 0
246395_at 59
246001_at 29
262801_at 1
259445_at 4
261863_at 81
250208_at 5
262844_at 4
253373_at 22
264204_at 6
251584_at 106
265943_at 72
