name cluster
260829_s_at 1
252340_at 1
267495_at 1
252724_at 1
265226_at 1
261923_at 1
265192_at 1
266275_at 1
266795_at 1
256206_at 1
265478_at 1
250394_at 1
251956_at 1
259548_at 1
247355_at 1
249276_at 1
266296_at 1
261553_at 1
258215_at 1
248744_at 1
249636_at 1
248339_at 1
261318_at 1
259118_at 1
257754_at 2
247035_at 2
265412_at 1
260070_at 1
265093_at 1
261632_at 1
263473_at 1
249742_at 1
254958_at 1
260746_at 1
264165_at 1
262236_at 1
251985_at 1
264656_at 1
257199_at 1
258806_at 1
256589_at 2
254147_at 1
266157_at 1
266347_at 1
261102_at 1
247525_at 1
260292_at 1
250419_at 1
266500_at 1
266745_at 1
260362_at 2
261901_at 1
258292_at 1
256060_at 1
256918_s_at 1
245770_at 1
254833_s_at 2
264094_at 1
252269_at 1
267592_at 1
255070_at 1
259040_at 1
249322_at 1
254645_at 1
258909_at 1
250529_at 1
250049_at 1
254343_at 1
265291_at 1
248634_at 1
251197_at 1
257985_at 1
258109_at 2
265629_at 1
255331_at 1
260656_at 2
258138_at 1
256786_at 1
262952_at 1
264400_at 1
248201_at 1
267530_at 1
257756_at 1
245194_at 1
260556_at 1
256426_at 1
249069_at 1
263118_at 1
252067_at 1
254608_at 1
259210_at 1
263842_at 1
256741_at 1
251442_at 1
260264_at 1
263126_at 1
257744_at 1
255302_at 1
249529_at 1
245638_s_at 1
256525_at 1
266874_at 1
263153_s_at 1
254293_at 1
253303_at 1
264885_s_at 1
257765_at 1
261715_at 1
247414_at 1
262738_at 1
250474_at 1
260462_at 2
244969_at 1
254057_at 1
267361_at 1
252043_at 1
261122_at 1
262714_s_at 1
256536_at 1
259038_at 1
256725_at 1
258923_at 2
265172_at 1
252118_at 1
255850_at 1
248698_at 1
254211_at 1
258983_at 2
253029_at 1
260146_at 1
246417_at 2
254282_at 1
251946_at 1
245569_at 1
256914_at 1
248271_at 1
256965_at 1
254872_at 1
253384_at 1
256765_at 1
250517_at 2
257140_at 1
249404_at 1
253686_at 1
251015_at 1
249869_at 1
251752_at 1
250975_at 1
265200_s_at 2
250421_at 1
251282_at 1
244985_at 1
246463_at 1
267201_at 1
255482_at 1
251920_at 1
253553_at 1
265098_at 1
247390_at 1
249090_at 1
264191_at 1
245307_at 1
248250_at 1
254427_at 1
250532_at 1
265059_at 1
266926_at 1
262050_at 1
247983_at 2
259172_at 1
251662_at 1
251327_at 1
248605_at 1
253343_at 2
249990_at 1
266016_at 1
254410_at 1
262518_at 1
258534_at 1
259757_at 1
262319_s_at 1
251487_at 1
247386_at 1
259968_at 1
263982_at 1
255736_at 1
261937_at 1
245937_at 1
260235_at 1
255621_at 1
253421_at 1
262517_at 1
248753_at 1
266120_at 1
262629_at 1
258804_at 1
251730_at 1
254758_at 1
253411_at 1
248021_at 1
265290_at 1
257937_at 1
251119_at 1
258287_at 1
265330_at 1
259363_at 1
254133_at 1
247867_at 1
251937_at 1
252859_at 2
246173_s_at 1
246464_at 2
258180_at 1
254659_at 1
244984_at 1
245285_s_at 1
262645_at 1
252160_at 1
266064_at 1
245628_at 1
256789_at 1
247223_at 1
250412_at 1
258897_at 3
264855_at 1
250865_at 1
265208_at 2
248228_at 1
258815_at 2
